date,equity
2020-08-24,1.08285670562808
2020-08-25,1.08285670562808
2020-08-26,1.08285670562808
2020-08-27,1.08285670562808
2020-08-28,1.08285670562808
2020-08-29,1.08285670562808
2020-08-30,1.0936852726843609
2020-08-31,1.0936852726843609
2020-09-01,1.1046221254112045
2020-09-02,1.1046221254112045
2020-09-03,1.1046221254112045
2020-09-04,1.1156683466653166
2020-09-05,1.1156683466653166
2020-09-06,1.1156683466653166
2020-09-07,1.1156683466653166
2020-09-08,1.1268250301319698
2020-09-09,1.1268250301319698
2020-09-10,1.1268250301319698
2020-09-11,1.1268250301319698
2020-09-12,1.1380932804332895
2020-09-13,1.1380932804332895
2020-09-14,1.1380932804332895
2020-09-15,1.1380932804332895
2020-09-16,1.1494742132376223
2020-09-17,1.1494742132376223
2020-09-18,1.1494742132376223
2020-09-19,1.1494742132376223
2020-09-20,1.1494742132376223
2020-09-21,1.1609689553699987
2020-09-22,1.1609689553699987
2020-09-23,1.1609689553699987
2020-09-24,1.1725786449236986
2020-09-25,1.1725786449236986
2020-09-26,1.1725786449236986
2020-09-27,1.1725786449236986
2020-09-28,1.1725786449236986
2020-09-29,1.1725786449236986
2020-09-30,1.1725786449236986
2020-10-01,1.1725786449236986
2020-10-02,1.1843044313729356
2020-10-03,1.1843044313729356
2020-10-04,1.1843044313729356
2020-10-05,1.1843044313729356
2020-10-06,1.196147475686665
2020-10-07,1.196147475686665
2020-10-08,1.196147475686665
2020-10-09,1.196147475686665
2020-10-10,1.2081089504435316
2020-10-11,1.2081089504435316
2020-10-12,1.2081089504435316
2020-10-13,1.2081089504435316
2020-10-14,1.220190039947967
2020-10-15,1.220190039947967
2020-10-16,1.220190039947967
2020-10-17,1.220190039947967
2020-10-18,1.220190039947967
2020-10-19,1.2323919403474468
2020-10-20,1.2323919403474468
2020-10-21,1.2323919403474468
2020-10-22,1.2323919403474468
2020-10-23,1.2447158597509214
2020-10-24,1.2447158597509214
2020-10-25,1.2447158597509214
2020-10-26,1.2447158597509214
2020-10-27,1.2447158597509214
2020-10-28,1.2571630183484306
2020-10-29,1.2571630183484306
2020-10-30,1.269734648531915
2020-10-31,1.269734648531915
2020-11-01,1.269734648531915
2020-11-02,1.269734648531915
2020-11-03,1.269734648531915
2020-11-04,1.282431995017234
2020-11-05,1.282431995017234
2020-11-06,1.282431995017234
2020-11-07,1.282431995017234
2020-11-08,1.2952563149674063
2020-11-09,1.2952563149674063
2020-11-10,1.2952563149674063
2020-11-11,1.3082088781170804
2020-11-12,1.3082088781170804
2020-11-13,1.3082088781170804
2020-11-14,1.3082088781170804
2020-11-15,1.3082088781170804
2020-11-16,1.3082088781170804
2020-11-17,1.3082088781170804
2020-11-18,1.3082088781170804
2020-11-19,1.3082088781170804
2020-11-20,1.3082088781170804
2020-11-21,1.3082088781170804
2020-11-22,1.3082088781170804
2020-11-23,1.3082088781170804
2020-11-24,1.3082088781170804
2020-11-25,1.3082088781170804
2020-11-26,1.3212909668982513
2020-11-27,1.3212909668982513
2020-11-28,1.3212909668982513
2020-11-29,1.334503876567234
2020-11-30,1.334503876567234
2020-12-01,1.334503876567234
2020-12-02,1.334503876567234
2020-12-03,1.334503876567234
